,City Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,Bousso,10.4795,16.7117,79.9,56,98,6.24,TD,1622608258
82,Bluff,-46.6,168.3333,49.8,81,38,17.36,NZ,1622608259
83,Yumen,40.2833,97.2,72.7,6,38,18.3,CN,1622608259
84,Peleduy,59.6289,112.7406,80.78,25,80,3.8,RU,1622608259
85,Mount Gambier,-37.8333,140.7667,62.51,59,75,12.66,AU,1622608260
86,Kapoeta,4.7717,33.5903,77.77,54,86,15.77,SS,1622608260
87,Manjakandriana,-18.9167,47.8,55.09,77,68,4.83,MG,1622608260
88,Chateaubelair,13.2833,-61.25,79.41,77,95,9.86,VC,1622608261
89,Marsá Maţrūḩ,31.3525,27.2453,69.98,59,2,13.33,EG,1622608261
90,Arraial do Cabo,-22.9661,-42.0278,71.62,82,20,8.14,BR,1622608261
91,Lagoa,39.05,-27.9833,58.78,62,98,12.1,PT,1622608261
92,Ribeira Grande,38.5167,-28.7,59.79,70,91,14.34,PT,1622608262
93,Sorong,-0.8833,131.25,80.65,82,99,7.11,ID,1622608228
94,Kendari,-3.945,122.4989,86.72,59,69,5.17,ID,1622608262
95,Butaritari,3.0707,172.7902,83.16,79,100,15.57,KI,1622608263
96,Aklavik,68.2191,-135.0107,32.83,98,100,5.53,CA,1622608263
97,Port Elizabeth,-33.918,25.5701,57.49,82,0,13.8,ZA,1622608264
98,Mahébourg,-20.4081,57.7,77.25,83,75,11.5,MU,1622608061
99,Ilulissat,69.2167,-51.1,32.02,86,59,3.44,GL,1622608052
100,Bintulu,3.1667,113.0333,91.81,66,40,3.0,MY,1622608264
101,Tasiilaq,65.6145,-37.6368,32.16,77,21,5.53,GL,1622608264
102,Bethel,41.3712,-73.414,62.24,82,100,2.48,US,1622608264
103,Zonguldak,41.25,31.8333,51.08,90,100,5.64,TR,1622608265
104,Pisco,-13.7,-76.2167,60.85,88,75,5.75,PE,1622608265
105,Popondetta,-8.7537,148.2534,82.51,63,100,4.38,PG,1622608265
106,Paphos,34.7667,32.4167,69.71,78,75,3.44,CY,1622608266
107,Bereket,39.2446,55.5154,92.3,22,0,5.08,TM,1622608266
108,Djambala,-2.5447,14.7533,66.74,97,99,4.61,CG,1622608266
109,Kaeo,-35.1,173.7833,60.33,75,35,6.38,NZ,1622608266
110,Saint-Augustin,51.226,-58.6502,49.86,87,77,6.98,CA,1622608246
111,Jumla,29.2747,82.1838,70.56,42,4,6.98,NP,1622608267
112,Castro,-24.7911,-50.0119,51.08,93,8,2.82,BR,1622608267
113,Altamont,42.2068,-121.7372,68.61,45,43,5.44,US,1622608267
114,Ocós,14.5094,-92.1933,82.0,88,83,6.15,GT,1622608268
115,Abatskiy,56.2875,70.4555,63.75,42,58,3.29,RU,1622608268
116,Nanton,50.3501,-113.7687,69.06,53,18,1.19,CA,1622608268
117,Portland,45.5234,-122.6762,82.78,53,1,1.01,US,1622607556
118,Lebrija,36.9208,-6.0753,60.58,87,0,4.54,ES,1622608269
119,Cherskiy,68.75,161.3,68.23,24,9,5.77,RU,1622608269
120,Kismayo,-0.3582,42.5454,80.82,70,97,15.46,SO,1622608270
121,Chokurdakh,70.6333,147.9167,72.21,20,21,6.26,RU,1622608270
122,Longyearbyen,78.2186,15.6401,36.86,93,100,5.32,SJ,1622608068
123,Tura,25.5198,90.2201,85.32,64,59,4.52,IN,1622608174
124,Cururupu,-1.8283,-44.8683,72.9,98,10,2.64,BR,1622608270
125,Aketi,2.7388,23.7833,70.07,93,99,2.3,CD,1622608270
126,Goderich,43.7501,-81.7165,57.52,72,37,10.36,CA,1622608271
